DEBUG 2025-03-10 14:50:45,730 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\mysql\introspection.py first seen with mtime 1739180166.8130448
DEBUG 2025-03-10 14:50:45,731 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\structures.py first seen with mtime 1739175827.0531526
DEBUG 2025-03-10 14:50:45,731 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\test\signals.py first seen with mtime 1739180167.067461
DEBUG 2025-03-10 14:50:45,732 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\copyreg.py first seen with mtime 1722958350.0
DEBUG 2025-03-10 14:50:45,732 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\blinker\_utilities.py first seen with mtime 1738664111.9503028
DEBUG 2025-03-10 14:50:45,733 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\arrays\categorical.py first seen with mtime 1732533727.2490711
DEBUG 2025-03-10 14:50:45,734 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\xml\etree\ElementPath.py first seen with mtime 1722958352.0
DEBUG 2025-03-10 14:50:45,734 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\itsdangerous\__init__.py first seen with mtime 1738664111.5642886
DEBUG 2025-03-10 14:50:45,735 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\oauth2\sts.py first seen with mtime 1741160251.8590028
DEBUG 2025-03-10 14:50:45,735 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\email\encoders.py first seen with mtime 1722958350.0
DEBUG 2025-03-10 14:50:45,736 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1739180166.1826508
DEBUG 2025-03-10 14:50:45,737 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\sas\sasreader.py first seen with mtime 1732533727.5640008
DEBUG 2025-03-10 14:50:45,737 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\pickle.py first seen with mtime 1732533727.48526
DEBUG 2025-03-10 14:50:45,738 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1739180166.1786504
DEBUG 2025-03-10 14:50:45,738 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\__init__.py first seen with mtime 1735542824.1296406
DEBUG 2025-03-10 14:50:45,739 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\operator.py first seen with mtime 1722958352.0
DEBUG 2025-03-10 14:50:45,739 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\formula\__init__.py first seen with mtime 1740395922.9959946
DEBUG 2025-03-10 14:50:45,740 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyasn1_modules\rfc2251.py first seen with mtime 1741160248.33489
DEBUG 2025-03-10 14:50:45,741 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\asyncio\trsock.py first seen with mtime 1722958350.0
DEBUG 2025-03-10 14:50:45,742 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\styles\__init__.py first seen with mtime 1740395923.0124617
DEBUG 2025-03-10 14:50:45,743 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\styles\protection.py first seen with mtime 1740395923.022432
DEBUG 2025-03-10 14:50:45,744 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\api.py first seen with mtime 1732533727.3275094
DEBUG 2025-03-10 14:50:45,747 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\__future__.py first seen with mtime 1722958350.0
DEBUG 2025-03-10 14:50:45,748 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\DLLs\_queue.pyd first seen with mtime 1722958396.0
DEBUG 2025-03-10 14:50:45,749 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\blinker\__init__.py first seen with mtime 1738664111.9503028
DEBUG 2025-03-10 14:50:45,750 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\utils\json.py first seen with mtime 1735542824.3810017
DEBUG 2025-03-10 14:50:45,751 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1739180167.0434172
DEBUG 2025-03-10 14:50:45,752 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\linalg\linalg.py first seen with mtime 1732533712.4066088
DEBUG 2025-03-10 14:50:45,753 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\random\mtrand.cp312-win_amd64.pyd first seen with mtime 1732533712.5257561
DEBUG 2025-03-10 14:50:45,753 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework_simplejwt\tokens.py first seen with mtime 1737379919.7013924
DEBUG 2025-03-10 14:50:45,754 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\lib\_histograms_impl.py first seen with mtime 1732533712.312362
DEBUG 2025-03-10 14:50:45,755 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1739180167.0955744
DEBUG 2025-03-10 14:50:45,755 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauthlib\oauth1\__init__.py first seen with mtime 1741160244.5965247
DEBUG 2025-03-10 14:50:45,756 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\chart\marker.py first seen with mtime 1740395922.9282274
DEBUG 2025-03-10 14:50:45,758 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_libs\index.cp312-win_amd64.pyd first seen with mtime 1732533729.2543912
DEBUG 2025-03-10 14:50:45,759 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1739180166.800208
DEBUG 2025-03-10 14:50:45,760 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\util\version\__init__.py first seen with mtime 1732533729.157998
DEBUG 2025-03-10 14:50:45,760 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1739180167.0554442
DEBUG 2025-03-10 14:50:45,761 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\_add_newdocs_scalars.py first seen with mtime 1732533712.9670448
DEBUG 2025-03-10 14:50:45,762 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\compat\_constants.py first seen with mtime 1732533727.186139
DEBUG 2025-03-10 14:50:45,764 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\importlib\resources\__init__.py first seen with mtime 1722958352.0
DEBUG 2025-03-10 14:50:45,765 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\__init__.py first seen with mtime 1739180164.2616558
DEBUG 2025-03-10 14:50:45,766 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\gspread\utils.py first seen with mtime 1741160253.5831916
