DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\jinja2\exceptions.py first seen with mtime 1738664113.4395378
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\DLLs\unicodedata.pyd first seen with mtime 1722958396.0
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\encoding.py first seen with mtime 1739180167.086484
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\asgiref\__init__.py first seen with mtime 1732095312.454924
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py first seen with mtime 1732533727.3907642
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1739175824.387257
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\workbook\web.py first seen with mtime 1740395923.0543194
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\mysql\base.py first seen with mtime 1739180166.8094995
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\test\signals.py first seen with mtime 1739180167.067461
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1739180167.0728512
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_libs\algos.cp312-win_amd64.pyd first seen with mtime 1732533729.19104
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\tools\times.py first seen with mtime 1732533727.45387
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1739180166.8421845
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\http\__init__.py first seen with mtime 1739180167.0359037
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\util\timeout.py first seen with mtime 1739175824.4473627
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_typing\_nested_sequence.py first seen with mtime 1732533713.326552
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\chart\chartspace.py first seen with mtime 1740395922.9232426
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\options.py first seen with mtime 1739180166.8567047
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\utils\__init__.py first seen with mtime 1740395923.0274174
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\excel\_openpyxl.py first seen with mtime 1732533727.5164745
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\views\main.py first seen with mtime 1739180165.0412285
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\jinja2\async_utils.py first seen with mtime 1738664113.429489
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\conf\__init__.py first seen with mtime 1739180164.2656472
